date,open,high,low,close,volume,num_trades,vwap_hlc3,usd_volume
2026-04-05,112.12,114.81,111.8,113.59,2458232.602,152534,113.4000,278763577.07
2026-04-06,113.58,113.64,108.14,113.22,7870330.793,255797,111.6667,878853605.22
2026-04-07,113.26,116.65,90.526,95.91,20619080.729,490383,101.0287,2083118233.94
2026-04-08,95.895,97.607,90.653,95.352,20319105.971,445174,94.5373,1920914094.22
2026-04-09,95.32,99.438,92.809,95.234,14080899.132,378290,95.8270,1349330321.12
2026-04-10,95.236,96.365,91.416,92.03,7505166.111,289554,93.2703,700009344.90
2026-04-11,92.017,92.16,88.369,90.123,2584170.194,199091,90.2173,233136943.78
2026-04-12,90.123,99.939,89.372,99.037,8998950.793,407823,96.1160,864943154.42
2026-04-13,99.075,99.55,91.26,91.788,10833649.5,332349,94.1993,1020522560.47
2026-04-14,91.77,93.246,84.509,87.49,9433409.307,285278,88.4150,834054883.88
2026-04-15,87.52,90.488,87.396,87.739,6217995.587,219393,88.5410,550547547.27
2026-04-16,87.736,91.8,87.364,90.058,5875696.985,187642,89.7407,527288964.57
2026-04-17,90.047,90.359,79.029,83.752,11197812.707,296778,84.3800,944871436.22
2026-04-18,83.751,88.1,83.462,86.041,3695309.246,231074,85.8677,317307582.57
2026-04-19,86.051,90.4,84.788,88.679,5579300.915,319630,87.9557,490731131.51
2026-04-20,88.678,88.941,85.466,86.252,8745796.661,247267,86.8863,759890203.95
2026-04-21,86.251,92.27,85.728,90.552,11120059.236,221024,89.5167,995430635.94
2026-04-22,90.536,93.739,87.666,92.758,7636659.158,183767,91.3877,697896461.58
2026-04-23,92.751,98.359,92.395,96.772,9435188.753,281884,95.8420,904287360.47
2026-04-24,96.771,97.796,92.793,94.759,7025185.828,480804,95.1160,668207575.22
2026-04-25,94.758,96.836,94.705,95.905,863076.519,97408,95.8153,82695964.36
2026-04-26,95.907,96.65,94.725,96.09,1583569.923,132186,95.8217,151740309.31
2026-04-27,96.09,97.681,94.642,96.711,4350876.048,159917,96.3447,419183702.55
2026-04-28,96.711,101.84,96.297,99.378,7171156.863,251077,99.1717,711175578.03
2026-04-29,99.376,109.02,98.411,107.84,7968951.462,254785,105.0903,837459765.46
2026-04-30,107.83,110.83,103.35,105.58,8100678.977,254437,106.5867,863424369.90
2026-05-01,105.6,106.57,99.211,102.77,8310553.487,227395,102.8503,854743196.32
2026-05-02,102.78,103.0,100.13,102.06,487021.017,66563,101.7300,49544648.06
2026-05-03,102.05,102.33,98.6,101.72,2434863.83,178899,100.8833,245637179.38
2026-05-04,101.72,107.56,100.06,104.94,10549468.101,281303,104.1867,1099113916.55
2026-05-05,104.94,105.3,99.098,99.777,6972472.712,212049,101.3917,706950629.06
2026-05-06,99.785,101.38,88.66,95.708,14189671.345,356823,95.2493,1351556735.83
2026-05-07,95.729,98.03,89.501,95.872,12661405.298,362269,94.4677,1196093415.22
2026-05-08,95.853,96.179,92.729,92.76,6383469.383,241349,93.8893,599339684.72
2026-05-09,92.76,93.939,91.3,93.435,733522.765,63497,92.8913,68137907.67
2026-05-10,93.435,97.338,92.0,97.144,2207771.281,146381,95.4940,210828910.71
2026-05-11,97.14,98.376,94.306,95.904,5378633.242,215683,96.1953,517399417.59
2026-05-12,95.904,99.705,95.904,98.773,3749105.561,174600,98.1273,367889731.09
2026-05-13,98.777,99.395,96.542,96.825,3604225.911,157110,97.5873,351726795.39
2026-05-14,96.822,98.126,95.101,97.773,3566368.719,155020,97.0000,345937765.74
2026-05-15,97.785,101.52,97.473,101.16,3110502.102,132210,100.0510,311208845.81
2026-05-16,101.15,102.03,100.8,101.77,514143.364,42631,101.5333,52202689.56
2026-05-17,101.76,102.84,101.28,102.47,798800.739,58003,102.1967,81634772.86
2026-05-18,102.47,105.07,98.576,102.26,6190229.807,181044,101.9687,631209479.78
2026-05-19,102.28,104.79,102.13,103.88,3207005.105,123895,103.6000,332245728.88
2026-05-20,103.89,104.39,96.9,98.868,6012853.616,158192,100.0527,601602038.56
2026-05-21,98.869,102.59,95.677,97.697,9129350.576,200300,98.6547,900653037.96
2026-05-22,97.694,99.323,94.849,98.506,6026788.081,167594,97.5593,587969427.32
2026-05-23,98.494,99.059,87.885,89.526,4222811.607,245779,92.1567,389160241.66
2026-05-24,89.517,96.522,89.399,92.1,3196150.717,214879,92.6737,296199006.16
2026-05-25,92.083,92.641,89.455,90.93,4211264.895,154338,91.0087,383261603.07
2026-05-26,90.932,94.621,90.929,93.234,4112704.304,133471,92.9280,382185385.56
2026-05-27,93.237,93.326,87.773,90.242,6178880.734,168190,90.4470,558861225.75
2026-05-28,90.234,92.5,86.744,88.525,5274392.367,185751,89.2563,470772923.24
2026-05-29,88.497,89.01,86.312,88.672,5353131.95,181686,87.9980,471064905.34
2026-05-30,88.671,88.689,87.403,88.313,502478.603,59949,88.1350,44285951.68
2026-05-31,88.313,90.026,88.184,89.432,893368.253,66093,89.2140,79700955.32
2026-06-01,89.423,94.717,89.1,91.909,6145195.811,182335,91.9087,564796753.39
2026-06-02,91.915,96.049,90.134,94.603,3738633.671,134556,93.5953,349918664.65
2026-06-03,94.602,96.914,94.195,95.302,3455797.995,143718,95.4703,329926186.52
2026-06-04,95.303,95.594,91.814,92.835,3086497.469,132466,93.4143,288323103.40
2026-06-05,92.822,93.335,89.293,91.131,3893817.838,182703,91.2530,355322559.17
2026-06-06,91.15,92.211,90.133,91.973,845201.347,99624,91.4390,77284365.97
2026-06-07,91.999,94.718,90.46,92.137,2709679.369,173000,92.4383,250478244.74
2026-06-08,92.153,94.65,89.794,90.476,5236692.011,173998,91.6400,479890455.89
2026-06-09,90.468,90.553,85.152,88.156,6480161.882,198837,87.9537,569953998.12
2026-06-10,88.156,92.052,86.345,90.884,6953572.101,199592,89.7603,624154949.64
2026-06-11,90.849,91.092,83.729,84.67,8325809.942,204086,86.4970,720157582.55
2026-06-12,84.671,85.677,80.74,82.203,6630941.045,176946,82.8733,549528187.54
2026-06-13,82.203,82.745,80.34,81.202,840441.743,69275,81.4290,68436330.69
2026-06-14,81.206,82.596,78.669,79.686,3076085.819,133781,80.3170,247061984.72
2026-06-15,79.691,80.24,78.473,80.165,2726639.682,94516,79.6260,217111411.32
2026-06-16,80.175,80.175,74.729,75.894,3516166.71,100867,76.9327,270508081.44
2026-06-17,75.89,78.931,74.089,75.316,4108115.709,120988,76.1120,312676902.84
2026-06-18,75.31,75.414,74.6,74.917,380506.595,14163,74.9770,28529242.97
