security,date,vwap,close,volume,fut_val_pt,fut_contract_size,contract_value,price_basis,usd_notional_traded
CL1 Comdty,2026-02-09,63.8477,64.36,298005.0,1000.0,1000.0,75350.00000000001,vwap,19026933838.5
CL1 Comdty,2026-02-10,64.2233,63.96,276292.0,1000.0,1000.0,75350.00000000001,vwap,17744384003.6
CL1 Comdty,2026-02-11,64.9859,64.63,340194.0,1000.0,1000.0,75350.00000000001,vwap,22107813264.600002
CL1 Comdty,2026-02-12,63.5985,62.84,369303.0,1000.0,1000.0,75350.00000000001,vwap,23487116845.5
CL1 Comdty,2026-02-13,62.7643,62.89,255793.0,1000.0,1000.0,75350.00000000001,vwap,16054668589.9
CL1 Comdty,2026-02-16,63.1669,,,1000.0,1000.0,75350.00000000001,vwap,
CL1 Comdty,2026-02-17,62.7952,62.33,328727.0,1000.0,1000.0,75350.00000000001,vwap,20642477710.4
CL1 Comdty,2026-02-18,64.2827,65.19,115379.0,1000.0,1000.0,75350.00000000001,vwap,7416873643.3
CL1 Comdty,2026-02-19,66.1583,66.43,113408.0,1000.0,1000.0,75350.00000000001,vwap,7502880486.4
CL1 Comdty,2026-02-20,66.3875,66.39,27422.0,1000.0,1000.0,75350.00000000001,vwap,1820478025.0000002
CL1 Comdty,2026-02-23,66.4384,66.31,270365.0,1000.0,1000.0,75350.00000000001,vwap,17962618016.0
CL1 Comdty,2026-02-24,66.2365,65.63,312124.0,1000.0,1000.0,75350.00000000001,vwap,20674001326.0
CL1 Comdty,2026-02-25,65.7138,65.42,306780.0,1000.0,1000.0,75350.00000000001,vwap,20159679564.000004
CL1 Comdty,2026-02-26,65.3909,65.21,498542.0,1000.0,1000.0,75350.00000000001,vwap,32600110067.8
CL1 Comdty,2026-02-27,66.7512,67.02,437053.0,1000.0,1000.0,75350.00000000001,vwap,29173812213.6
CL1 Comdty,2026-03-02,71.672,71.23,881329.0,1000.0,1000.0,75350.00000000001,vwap,63166612088.0
CL1 Comdty,2026-03-03,75.3566,74.56,1009753.0,1000.0,1000.0,75350.00000000001,vwap,76091552919.8
CL1 Comdty,2026-03-04,74.9656,74.66,617822.0,1000.0,1000.0,75350.00000000001,vwap,46315396923.2
CL1 Comdty,2026-03-05,78.4108,81.01,707030.0,1000.0,1000.0,75350.00000000001,vwap,55438787923.99999
CL1 Comdty,2026-03-06,87.1852,90.9,996251.0,1000.0,1000.0,75350.00000000001,vwap,86858342685.2
CL1 Comdty,2026-03-09,101.8225,94.77,1107193.0,1000.0,1000.0,75350.00000000001,vwap,112737159242.5
CL1 Comdty,2026-03-10,85.5468,83.45,801564.0,1000.0,1000.0,75350.00000000001,vwap,68571235195.20001
CL1 Comdty,2026-03-11,86.1068,87.25,538020.0,1000.0,1000.0,75350.00000000001,vwap,46327180536.00001
CL1 Comdty,2026-03-12,93.9583,95.73,548999.0,1000.0,1000.0,75350.00000000001,vwap,51583012741.7
CL1 Comdty,2026-03-13,95.9125,98.71,436700.0,1000.0,1000.0,75350.00000000001,vwap,41884988750.0
CL1 Comdty,2026-03-16,96.4441,93.5,455454.0,1000.0,1000.0,75350.00000000001,vwap,43925851121.40001
CL1 Comdty,2026-03-17,95.727,96.21,308425.0,1000.0,1000.0,75350.00000000001,vwap,29524599975.0
CL1 Comdty,2026-03-18,96.6041,96.32,157222.0,1000.0,1000.0,75350.00000000001,vwap,15188289810.2
CL1 Comdty,2026-03-19,97.5929,96.14,118719.0,1000.0,1000.0,75350.00000000001,vwap,11586131495.1
CL1 Comdty,2026-03-20,97.9963,98.32,33107.0,1000.0,1000.0,75350.00000000001,vwap,3244363504.1
CL1 Comdty,2026-03-23,91.8003,88.13,666790.0,1000.0,1000.0,75350.00000000001,vwap,61211522036.99999
CL1 Comdty,2026-03-24,91.184,92.35,420067.0,1000.0,1000.0,75350.00000000001,vwap,38303389328.0
CL1 Comdty,2026-03-25,88.8969,90.32,405170.0,1000.0,1000.0,75350.00000000001,vwap,36018356973.0
CL1 Comdty,2026-03-26,93.5314,94.48,350768.0,1000.0,1000.0,75350.00000000001,vwap,32807822115.2
CL1 Comdty,2026-03-27,97.4064,99.64,374920.0,1000.0,1000.0,75350.00000000001,vwap,36519607488.00001
CL1 Comdty,2026-03-30,102.2182,102.88,374075.0,1000.0,1000.0,75350.00000000001,vwap,38237273165.0
CL1 Comdty,2026-03-31,102.7795,101.38,495395.0,1000.0,1000.0,75350.00000000001,vwap,50916450402.49999
CL1 Comdty,2026-04-01,99.5808,100.12,434561.0,1000.0,1000.0,75350.00000000001,vwap,43273932028.799995
CL1 Comdty,2026-04-02,109.0066,111.54,552462.0,1000.0,1000.0,75350.00000000001,vwap,60222004249.200005
CL1 Comdty,2026-04-03,,111.54,,1000.0,1000.0,75350.00000000001,close,
CL1 Comdty,2026-04-06,111.8925,112.41,271742.0,1000.0,1000.0,75350.00000000001,vwap,30405891735.0
CL1 Comdty,2026-04-07,114.446,112.95,429331.0,1000.0,1000.0,75350.00000000001,vwap,49135215626.0
CL1 Comdty,2026-04-08,95.6102,94.41,599576.0,1000.0,1000.0,75350.00000000001,vwap,57325581275.200005
CL1 Comdty,2026-04-09,98.708,97.87,427201.0,1000.0,1000.0,75350.00000000001,vwap,42168156308.0
CL1 Comdty,2026-04-10,98.1531,96.57,314855.0,1000.0,1000.0,75350.00000000001,vwap,30903994300.499996
CL1 Comdty,2026-04-13,101.8734,99.08,344337.0,1000.0,1000.0,75350.00000000001,vwap,35078780935.8
CL1 Comdty,2026-04-14,94.2068,91.28,315821.0,1000.0,1000.0,75350.00000000001,vwap,29752485782.8
CL1 Comdty,2026-04-15,91.5931,91.29,240397.0,1000.0,1000.0,75350.00000000001,vwap,22018706460.7
CL1 Comdty,2026-04-16,93.2084,94.69,194354.0,1000.0,1000.0,75350.00000000001,vwap,18115425373.6
CL1 Comdty,2026-04-17,86.5175,83.85,116624.0,1000.0,1000.0,75350.00000000001,vwap,10090016920.0
CL1 Comdty,2026-04-20,89.0856,89.61,115578.0,1000.0,1000.0,75350.00000000001,vwap,10296335476.800001
CL1 Comdty,2026-04-21,91.9161,92.13,27542.0,1000.0,1000.0,75350.00000000001,vwap,2531553226.2
CL1 Comdty,2026-04-22,91.362,92.96,299675.0,1000.0,1000.0,75350.00000000001,vwap,27378907349.999996
CL1 Comdty,2026-04-23,94.9283,95.85,365210.0,1000.0,1000.0,75350.00000000001,vwap,34668764443.0
CL1 Comdty,2026-04-24,95.0805,94.4,330280.0,1000.0,1000.0,75350.00000000001,vwap,31403187540.0
CL1 Comdty,2026-04-27,96.2618,96.37,219055.0,1000.0,1000.0,75350.00000000001,vwap,21086628599.0
CL1 Comdty,2026-04-28,99.5609,99.93,281078.0,1000.0,1000.0,75350.00000000001,vwap,27984378650.2
CL1 Comdty,2026-04-29,104.5092,106.88,318841.0,1000.0,1000.0,75350.00000000001,vwap,33321817837.2
CL1 Comdty,2026-04-30,105.8912,105.07,341994.0,1000.0,1000.0,75350.00000000001,vwap,36214155052.8
CL1 Comdty,2026-05-01,102.5745,101.94,268707.0,1000.0,1000.0,75350.00000000001,vwap,27562486171.5
CL1 Comdty,2026-05-04,104.0901,106.42,342843.0,1000.0,1000.0,75350.00000000001,vwap,35686562154.3
CL1 Comdty,2026-05-05,102.8358,102.27,241150.0,1000.0,1000.0,75350.00000000001,vwap,24798853170.0
CL1 Comdty,2026-05-06,95.2098,95.08,423491.0,1000.0,1000.0,75350.00000000001,vwap,40320493411.799995
CL1 Comdty,2026-05-07,93.828,94.81,392091.0,1000.0,1000.0,75350.00000000001,vwap,36789114348.0
CL1 Comdty,2026-05-08,95.3508,95.42,243423.0,1000.0,1000.0,75350.00000000001,vwap,23210577788.4
CL1 Comdty,2026-05-11,98.1586,98.07,256251.0,1000.0,1000.0,75350.00000000001,vwap,25153239408.600002
CL1 Comdty,2026-05-12,101.2672,102.18,231747.0,1000.0,1000.0,75350.00000000001,vwap,23468369798.4
